ID,age,Num_kids,Education,pre_employment_Status,partnered,mat_leave,mat_leave_eligability,CCS_eligability,help,returned
1,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
2,32,1,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,N/A
3,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,N/A
4,38,3,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,No,Yes,Yes- As needed help,Yes
5,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,Yes- with some paid leave provided by Employer,No,No,No
6,38,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
7,41,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
8,44,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,No,Yes
9,40,1,High School diploma,Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
10,35,3,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,Yes
11,36,1,High School diploma,Casual work,Single,No,No,No,Yes- As needed help,N/A
12,41,1,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
13,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
14,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,No,N/A
15,33,2,Tertiary education ( University or TAFE or equivalent),Part time work,Single,No,No,Yes,Yes- As needed help,Yes
16,35,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,No
17,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,Yes - Scheduled help,Yes
18,38,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes - Scheduled help,Yes
19,36,2,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
20,29,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
21,29,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
22,64,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
23,31,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes - Scheduled help,Yes
24,63,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,No
25,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes - Scheduled help,No
26,35,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
27,37,1,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
28,35,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,Yes
29,41,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,Yes
30,65,4,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,Yes- As needed help,Yes
31,39,4,Tertiary education ( University or TAFE or equivalent),,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
32,39,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
33,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
34,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,No,Yes
35,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
36,46,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,No
37,39,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
38,45,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
39,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,N/A
40,43,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
41,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
42,30,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
43,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,No,Yes,No,Yes
44,35,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
45,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
46,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
47,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
48,40,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,No,Yes,No,No
49,39,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,No,N/A
