ID,age,Num_kids,Education,pre_employment_Status,partnered,mat_leave,mat_leave_eligability,CCS_eligability,help,returned
1,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
2,39,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,No,N/A
3,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,Yes
4,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
5,29,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
6,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,Yes
7,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
8,40,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,No,Yes,Yes- As needed help,Yes
9,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
10,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
11,32,1,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,No
12,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,N/A
13,38,3,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,No,Yes,Yes- As needed help,Yes
14,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,Yes- with some paid leave provided by Employer,No,No,No
15,38,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
16,41,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
17,44,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,No,Yes
18,40,1,High School diploma,Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
19,35,3,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,Yes
20,36,1,High School diploma,Casual work,Single,No,No,No,Yes- As needed help,No
21,41,1,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
22,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
23,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,No,N/A
24,33,2,Tertiary education ( University or TAFE or equivalent),Part time work,Single,No,No,Yes,Yes- As needed help,Yes
25,35,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,No
26,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,Yes - Scheduled help,Yes
27,38,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes - Scheduled help,Yes
28,36,2,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
29,29,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
30,29,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
31,64,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
32,31,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes - Scheduled help,Yes
33,63,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,No
34,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes - Scheduled help,No
35,35,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
36,37,1,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
37,35,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,Yes
38,41,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,Yes
39,65,4,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,Yes- As needed help,Yes
40,39,4,Tertiary education ( University or TAFE or equivalent),,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
41,39,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
42,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
43,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,No,Yes
44,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
45,46,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,No
46,39,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
47,45,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
48,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,N/A
49,43,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
50,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
51,30,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
52,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,No,Yes,No,Yes
53,35,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
54,33,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
55,54,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
56,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
57,40,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,No,Yes,No,No
58,39,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,No,N/A
59,30,3,Tertiary education ( University or TAFE or equivalent),Unemployed,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
60,40,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,Yes- As needed help,Yes
61,41,1,Master's or Doctorate,Full time work,Single,No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
62,37,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
63,25,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,No
64,38,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,Yes
65,44,2,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
66,39,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
67,40,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
68,29,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,Yes
69,61,3,None,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,No,No
70,38,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,No,Yes
71,43,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
72,34,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,Yes
73,51,2,Master's or Doctorate,Full time work,Single,No,Yes- with some paid leave provided by Employer,No,No,Yes
74,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
75,42,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
76,35,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
77,50,3,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,No,No
78,41,1,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,Yes- with some paid leave provided by Employer,Yes,No,Yes
79,31,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
80,51,1,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
81,53,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
82,38,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
83,42,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,No
84,37,1,Tertiary education ( University or TAFE or equivalent),Full time work,Single,No,No,Yes,Yes- As needed help,Yes
85,42,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
86,33,1,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
87,31,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
88,37,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
89,34,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
90,39,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,Yes
91,35,2,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
92,31,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,N/A
93,30,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
94,35,2,High School diploma,Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
95,49,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,Yes
96,32,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,No
97,31,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
98,32,1,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,N/A
99,34,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
100,34,1,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
101,41,4,Master's or Doctorate,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,Yes- As needed help,Yes
102,27,1,Tertiary education ( University or TAFE or equivalent),Casual work,Single,No,No,Yes,Yes- As needed help,Yes
103,34,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
104,33,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,No,Yes
105,46,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
106,32,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
107,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,Yes- As needed help,Yes
108,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,Yes,No,Yes
109,29,5,Tertiary education ( University or TAFE or equivalent),Part time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,No,Yes
110,34,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,Yes,Yes - Scheduled help,Yes
111,63,2,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),No,No,Yes
112,36,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,No
113,34,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,Yes
114,33,3,High School diploma,Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
114,31,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
114,29,1,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,No,Yes- As needed help,No
114,34,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,No,Yes,No,Yes
114,54,4,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,Yes- As needed help,Yes
114,30,2,Tertiary education ( University or TAFE or equivalent),Casual work,"Partner ( Husband/Wife, De-facto partner)",No,No,No,Yes- As needed help,No
114,42,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,Yes- As needed help,Yes
114,37,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",Yes,Yes- with some paid leave provided by Employer,Yes,Yes- As needed help,Yes
114,58,3,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes- with some paid leave provided by Employer,No,No,Yes
114,30,2,Tertiary education ( University or TAFE or equivalent),Full time work,"Partner ( Husband/Wife, De-facto partner)",No,Yes - Unpaid (excludes govt Maternity pay),Yes,Yes- As needed help,Yes
